Common Name,Scientific Name
Silver-Dollar Fern,Adiantum peruvianum
Maidenhair Fern,Adiantum raddianum
Rosy Maidenhair Fern,Adiantum ternerum 'Scutum Roseum'
Diamond Maidenhair Fern,Adiantum trapeziforme
Living Vase Bromeliad,Aechmea 'Better than Bert'
Living Vase Bromeliad,Aechmea 'Black Panther'
Living Vase,Aechmea 'Blue Tango'
Bromeliad,Aechmea 'Buckwheat'
Living Vase,Aechmea 'Del Mar'
Bromeliad,Aechmea 'Foster's Favorite'
Bromeliad,Aechmea blanchetiana
Amazonian Zebra Plant,Aechmea chantinii
Silver Vase Plant,Aechmea fasciata
Coralberry,Aechmea fulgens
Variegated Matchstick Plant,Aechmea gamosepala 'Lucky Stripe'
Matchstick Bromeliad,Aechmea gamosepala 
Bromeliad,Aechmea miniata 
Silver Dragon Alocasia,Alocasia baginda 'Silver Dragon'
Dragon Scale Alocasia,Alocasia baginda 'Dragon Scale'
Dwarf Elephant Ear,Alocasia heterophylla 'Cory Aquino'
Black Velvet Alocasia,Alocasia reginula 'Black Velvet'
Tiger Elephant Ear,Alocasia zebrina
Variegated Ginger,Alpinia vittata
Voodoo Lily,Amorphophallus bulbifer
Voodoo Lily,Amorphophallus konjac
Titan Arum,Amorphophallus titanum 
Anthurium,Anthurium 'Big Red Bird' x A. 'Round Wan'
Anthurium,Anthurium andraeanum 'White Heart'
Anthurium ,Anthurium atropurpureum
Anthurium,Anthurium atropurpureum var. arenicola
Anthurium,Anthurium clarinervium
Anthurium,Anthurium ensifolium
Anthurium,Anthurium forgetii
Red Pearls Anthurium,Anthurium gracile
Anthurium,Anthurium grandifolium
Red Anthurium,Anthurium hybrid
Anthurium,Anthurium magnificum
Anthurium,Anthurium pedatoradiatum sub. helleborifolium
Anthurium,Anthurium pentaphyllum
Anthurium,Anthurium podophyllum
King Anthurium,Anthurium veitchii
Strap-Leafed Anthurium,Anthurium vittarifolium
Anthurium,Anthurium willdenowii
Variegated Leather Leaf Fern,Arachniodes simplicior 'Variegata'
Breadfruit Tree,Artocarpus altilis 'Ma afala'
Ming Fern,Asparagus sp.  
Morning Sun Cast Iron Plant,Aspidistra elatior 'Asahi'
Cast Iron Plant,Aspidistra elatior 'Milky Way'
Variegated Cast Iron Plant,Aspidistra elatior 'Variegata'
Maple Leaf Begonia ,Begonia cleopatrae
Castor Bean Begonia,Begonia x ricinifolia
Silvery Trumpet Vine,Bignonia argyreoviolascens
Bromeliad,Billbergia 'Casablanca'
Rainbow Plant,Billbergia chlorostica
Queen's Tears,Billbergia nutans
Kyoto Flaming Torch,Billbergia pyramidalis 'Kyoto'
"Fingerroot, Chinese Keys",Bosenbergia rotunda
Caladium,Caladium 'Poison Dart Frog'
Spotted Elephant Ear,Caladium praetermissum 'Hilo Beauty'
Zebra Plant,Goeppertia bella
Rattle Shaker,Calathea crotalifera 'Yellow Rattleshaker'
Calathea,Goeppertia majestica 'Wilson's Princep'
Narrow Strap Fern,Campyloneurum aglaolepis
Dwarf Ylang Ylang,Cananga odorata var. fruticosa
Mexican Horncone,Ceratozamia mexicana
Cycad,Ceratozamia robusta
Metallic Palm,Chamaedorea metallica
Curare,Chondrodendron tomentosum
Buddha's Hand Citron,Citrus medica 
Sweet Orange,Citrus sinensis 'Valencia'
Starburst Bush,Clerodendrum quadriloculare
Cola Tree,Cola acuminata
Pharaoh's Mask Elephant Ear,Colocasia 'Cophama'
Dwarf Taro,Colocasia fallax
Spiral Ginger,Costus guanaiensis
Spiral Flag Ginger,Costus afer
Tree Lily,Cubanola domingensis
Siam Tulip,Curcuma alismatifolia 'Giant Pink'
Raspberry Siam Tulip,Curcuma alismatifolia 'Raspberry'
Turmeric,Curcuma longa
Tuba Root,Derris elliptica
Fishbone Cactus,Disocactus anguliger
Orchid Cactus,Disocactus x hybridus 'Ackermannii'
African Spear,Dracaena angolensis
Marble Planet Pothos,Epipremnum pinnatum 'Marble Planet'
Amazon Lily,Urceolina caucana
Pineapple Lily,Eucomis comosa
Oak-Leaf Ficus,Ficus montana
Creeping Fig,Ficus pumila 'Variegata'
Shaggy Leaved Fig,Ficus villosa
Variegated Gardenia,Gardenia jasminoides 'Variegata'
Giraffe's Knees ,Gonatopus boivinii
Bromeliad,Goudaea ospinae var. gruberi
Orange Guzmania,Guzmania 
Scarlet Star,Guzmania lingulata
Mutant Ginger,Hedychium 'Mutant'
Koki'o 'ula,Hibiscus clayi
Amaryllis,Hippeastrum 'Dancing Queen'
Bromeliad,Hohenbergia catingae var. elongata
Bromeliad,Hohenbergia lemei
Giant Bromeliad,Hohenbergia rosea
Centipede Plant,Homalocladium platycladum 
Variegated Wax Plant,Hoya carnosa 'Variegata'
Hybanthus,Pombalia communis 
Hybanthus,Pombalia prunifolia
Dragon Fruit,Selenicereus undatus
Caribbean Spider Lily,Hymenocallis caribaea
Peacock Ginger,Kaempferia pulchra 'Pink Lace'
Pink Lantern ,Medinilla magnifica
Crocodile Fern,Microsorum musifolium 'Crocodyllus'
Elkhorn Fern,Microsorum punctatum 'Serratum'
Split-Leaf Philodendron,Monstera deliciosa
Variegated Split-Leaf Philodendron,Monstera deliciosa var. borsigiana 'Albo'
Swiss Cheese Vine,Monstera obliqua
Orange Jasmine,Murraya  paniculata
Goldfish Plant,Nematanthus 'Yellow Maroon'
Dragon Bromeliad,Neoregelia 'Dragon'
Bromeliad ,Neoregelia 'Zoe'
Austin Pretty Limits Oleander,Nerium oleander 
Kandyan Dancer Orchid,Oncidium sphacelatum
Variegated Screw Pine,Pandanus tectorius 'Variegata'
Brazilian Candles,Pavonia x gledhillii 'Rosea'
String of Turtles,Peperomia prostrata
Peperomia,Peperomia rotundifolia 'Hope'
Florida Green Philodendron,Philodendron 'Florida Green'
Philodendron,Philodendron 'Jungle Boogie'
Philodendron,Philodendron 'Pink Princess'
Philodendron,Philodendron billietiae
Philodendron,Philodendron burle-marxii
Philodendron,Philodendron copense
Philodendron,Philodendron gloriosum
Silver Sword Philodendron,Philodendron hastatum 'Silver Sword'
Flask Philodendron,Philodendron martianum
Black Gold Philodendron,Philodendron melanochrysum
Philodendron,Philodendron pastazanum
Philodendron,Philodendron plowmanii
Snowflake Philodendron,Philodendron warscewiczii
Chinese Money Plant,Pilea peperomioides
Black Pepper,Piper nigrum
Peruvian Pepper,Piper unguiculatum
Staghorn Fern,Platycerium alcicorne
Jaboticaba,Plinia cauliflora 'Sabara'
Frangipani,Plumeria rubra
Variegated Ming Aralia,Polyscias guilfoylei 'Ming Gold'
Bromeliad,Portea 'Candy'
Amethyst Star,Pseuderanthemum laxiflorum
Hawaiian Moa,Psilotum nudum
Bromeliad,Quesnelia marmorata 'Tim Plowman'
Mini Monstera,Rhaphidophora tetrasperma
Hairy Stemmed Rhipsalis,Rhipsalis pilocarpa
Bell Weed,Ruellia prostrata
Mexican Petunia,Ruellia simplex
Variegated Sugar Cane,Saccharum officinarum 'Ivory Stripes'
Voodoo Lily,Sauromatum venosum
Ric Rac Cactus,Selenicereus anthonyanus
Indonesian Wax Ginger,Tapeinochilos ananassae
Pink Quill,Wallisia cyanea
Air Plant,Tillandsia xerographica x brachycaulos
Water Banana,Typhonodorum lindleyanum
Vanilla Orchid,Vanilla planifolia
Variegated Vanilla Vine,Vanilla planifolia 'Variegata'
Flaming Sword ,Vriesea 'Splenriet'
Giant Bromeliad,Vriesea imperialis green
Painted Feather Bromeliad,Vriesea simplex x mariae
Variegated Bromeliad,Vriesea splendens
Cardboard Palm,Zamia furfuraceae
Raven Z Z Plant,Zamioculcas zamiifolia 'Dowon'
White Powder Puff,Zapoteca portoricensis
Edible Ginger,Zingiber officianale
Bitter Ginger,Zingiber zerumbet
Agave angustifolia var. angustifolia ,Agave angustifolia var. angustifolia 
Agave schottii,Agave schottii
Dwarf Hedgehog Agave,Agave stricta 'Nana'
Aloe sp.,Aloe sp.
Aloe unknown,Aloe unknown
Aloe unknown,Aloe unknown
Aloe unknown,Aloe unknown
Aloe unknown,Aloe unknown
Aloe unknown,Aloe unknown
Drimiopsis maculata,Drimiopsis maculata
Euphorbia abyssinica,Euphorbia abyssinica
Euphorbia sp.,Euphorbia sp.
Euphorbia unknown,Euphorbia unknown
Euphorbia unknown hybrid,Euphorbia unknown hybrid
Euphorbia unknown hybrid,Euphorbia unknown hybrid
Ferocactus emoryi,Ferocactus emoryi
Ferocactus sp.,Ferocactus sp.
Ferocactus sp.,Ferocactus sp.
Ferocactus unknown,Ferocactus unknown
Ferocactus unknown,Ferocactus unknown
Ferocactus unknown,Ferocactus unknown
Ferocactus unknown,Ferocactus unknown
Ferocactus unknown,Ferocactus unknown
Ferocactus unknown,Ferocactus unknown
Ferocactus unknown,Ferocactus unknown
Fouquieria formosa,Fouquieria formosa
Gasteraloe unknown,Gasteraloe unknown
Gasteria hybrid,Gasteria hybrid
Gasteria sp,Gasteria sp
Gasteria species,Gasteria species
Gasteria species,Gasteria species
Gasteria unknown,Gasteria unknown
Gasterworthia unknown,Gasterworthia unknown
Gasterworthia unknown,Gasterworthia unknown
Gasterworthia unknown,Gasterworthia unknown
Graptopetalum unknown,Graptopetalum unknown
Graptoveria #2(?),Graptoveria #2(?)
Graptoveria #3(?),Graptoveria #3(?)
Gymnocalycium possibly saglione,Gymnocalycium possibly saglione
Gymnocalycium unknown,Gymnocalycium unknown
Haworthia unknown,Haworthia unknown
Haworthia unknown,Haworthia unknown
Haworthiopsis attenuata var. glabrata,Haworthiopsis attenuata var. glabrata
Hectia argentea,Hectia argentea
Hectia sp.,Hectia sp.
Juttadinteria suavissima,Juttadinteria suavissima
Mammillaria unknown,Mammillaria unknown
Mammillaria unknown,Mammillaria unknown
Mammillaria unknown,Mammillaria unknown
Mammillaria unknown,Mammillaria unknown
Mammillaria unknown ,Mammillaria unknown 
Mammillaria unknown ,Mammillaria unknown 
Mammillaria unknown ,Mammillaria unknown 
Mammillaria unknown ,Mammillaria unknown 
Opuntia sp.,Opuntia sp.
Opuntia unknown,Opuntia unknown
Raphianacme flanaganii,Raphianacme flanaganii
Jelly Bean Plant,Sedum pachyphyllum 
Senecio crassisimus,Senecio crassisimus
Unknown Gasteria,Unknown Gasteria
Bushman Poison ,Adenium boehmianum 
Aloe cameronii,Aloe cameronii
Aloe harlana,Aloe harlana
Aloe jacksonii,Aloe jacksonii
Aloe jucunda,Aloe jucunda
Aloe maculata ,Aloe maculata 
Aloe munchii,Aloe munchii
Aloe rivae,Aloe rivae
Aloe rivierei,Aloe rivierei
Aloe sp.,Aloe sp.
Aloe 'Hummel Collection',Aloe sp.
Cylindrical Snake Plant,Dracaena angolensis
Dracaena serpenta,Dracaena serpenta
Dracaena unknown,Dracaena unknown
Unknown Euph.,Euphorbia sp.
Pencil Plant,Euphorbia tirucalli 
Gasteria obliqua,Gasteria obliqua
Gasteria sp.,Gasteria sp.
Gasteria sp.,Gasteria sp.
Gasteria sp.,Gasteria sp.
Gasteria sp.,Gasteria sp.
Gasteria unknown,Gasteria unknown
Gasteria unknown,Gasteria unknown
Gasteria unknown,Gasteria unknown
Gasteria unknown,Gasteria unknown
Haworthia sp.,Haworthia sp.
Paper Spine,Tephrocactus articulatus
Toothpick Cactus,STETSONIA CORYNE
Giant Saguaro  ,Carnegiea gigantea 
SOAP TREE,Yucca elata
Australian Bottle Tree,Brachychiton rupestris
Australian Bottle Tree,Brachychiton sp.
Hohenbergia magnispina,Hohenbergia magnispina
Aloe deltoideodonta,Aloe deltoideodonta
Mexican Boulder,Calibanus hookeri
Old Man Cactus,Cephalocereus senilis 
Copiapoa gigantea,Copiapoa gigantea
Tom Grumbley Snake Plant,Dracaena ballyi 'Tom Grumbley'
Dragon's Toes,Agave 'Dragon's Toes'
Variegated Octopus Aloe,Aloe arborescens 'Variegata'
Dracaena pethera,Dracaena pethera
Moonshine Snake Plant,Dracaena trifasciata 'Moonshine'
Variegated Gasteria ,Gasteria batesiana 'Variegata'
Variegated Nopal,Nopalea cochenillifera forma variegata
FEROCACTUS  GLAUCESCENS,FEROCACTUS  GLAUCESCENS
Wooly Torch Cactus,Pilosocereus palmeri 
Opuntia echios,Opuntia echios
Euphorbia buruana,Euphorbia buruana
Aloe acutissima var. antanimorensis,Aloe acutissima var. antanimorensis
Aloe conifera,Aloe conifera
Aloe erythrophylla,Aloe erythrophylla
Aloe rauhii,Aloe rauhii
Didieria madagascariensis,Didieria madagascariensis
Euphorbia aff croizatii ,Euphorbia aff croizatii 
Euphorbia betrokana,Euphorbia betrokana
Euphorbia capsaintemariensis,Euphorbia capsaintemariensis
Euphorbia croizatii ,Euphorbia croizatii 
Euphorbia decaryi ,Euphorbia decaryi 
Euphorbia decaryi var. spirosticha,Euphorbia decaryi var. spirosticha
Euphorbia duranii ,Euphorbia duranii 
Euphorbia genoudiana ,Euphorbia genoudiana 
Euphorbia hedyotoides,Euphorbia hedyotoides
Euphorbia millii var. roseana,Euphorbia millii var. roseana
Euphorbia platyclada,Euphorbia platyclada
Euphorbia platyclada var. hardyi,Euphorbia platyclada var. hardyi
Euphorbia sp.,Euphorbia sp.
Euphorbia sp.,Euphorbia sp.
Widow's Thrill,Kalanchoe beauverdii
Velvet Elephant Ear,Kalanchoe beharensis
Silver Teaspoons,Kalanchoe bracteata
Kalanchoe dinklagei,Kalanchoe dinklagei
Copper Spoons,Kalanchoe orgyalis
Kalanchoe rhombopilosa,Kalanchoe rhombopilosa
Kalanchoe viguieri ,Kalanchoe viguieri 
Kalanchoe viguieri var. angustisepala,Kalanchoe viguieri var. angustisepala
Kleinia madagascariensis,Kleinia madagascariensis
SENECIO DESCOINGSII,SENECIO DESCOINGSII
Senna meridionalis,Senna meridionalis
Blue Glow Agave,Agave 'Blue Glow'
White Hair Agave,Agave albopilosa
Agave americana subsp. americana,Agave americana subsp. americana
Mescal Agave,Agave angustifolia
Lion's Tail Agave,Agave attenuata 
Agave attenuata variegata,Agave attenuata variegata
Cowhorn Agave,Agave bovicornuta 'Reggae Time'
Agave bracteosa,Agave bracteosa
Agave mitis,Agave mitis
Tuberose-flowered Agave,Agave polianthiflora
Agave potatorum,Agave potatorum
Lucky Crown Agave,Agave potatorum 'Kissho Kan'
Tequila agave,Agave tequilana
Chalk Agave,Agave titanota
Queen Agave,Agave victoriae-reginae
Bishop's Cap,Astrophytum myriostigma
Star Plant,Astrophytum ornatum
Pony Tail Palm,Beaucarnea recurvata 
Red Echeveria,Echeveria carnicolor
Echinocereus brandegeei,Echinocereus brandegeei
Lady Finger Cactus,Echinocereus pentalophus
Slipper Plant,Euphorbia lomelii
Fish-hook Cactus,Ferocactus hystrix
Mexican Fire Barrel,Ferocactus pilosus
Ferocactus rectispinus,Ferocactus rectispinus
Lavender Pebbles,Graptopetalum amethystinum
Graptopetalum paraguayense,Graptopetalum paraguayense
Yellow Turk's Head,Hamatocactus hamatacanthus subsp. hamatacanthus
Prism cactus,Leuchtenbergia principis
Old Man Cactus,Lophocereus schottii
Bird's Nest Mammillaria,Mammillaria decipiens
Twin-spine cactus,Mammillaria geminispina
Old Lady Cactus,Mammillaria hahniana 'Super Clone'
Owl-Eye Pincushion,Mammillaria parkinsonii
Mammillaria petterssonii,Mammillaria petterssonii
Mammillaria vetula,Mammillaria vetula
Mexican fencepost,Lophocereus marginatus
Cowboy's Whiskers ,Opuntia aciculata
Dinner Plate Cactus,Opuntia robusta
Opuntia sp.,Opuntia sp.
Totem Pole Cactus,Lophocereus schottii f. monstrosus
Cardon,Pachycereus sp.
Cardon,Pachycereus sp.
Cardon,Pachycereus sp.
Moonstones,PACHYPHYTUM BRACTEOSUM
Sedum adolphii,Sedum adolphii
Burro's Tail,Sedum morganianum
Silver Torch,Cleistocactus hyalacanthus
Ocotillo,Fouquieria splendens
LIVING ROCK CACTUS,Ariocarpus fissuratus
ADENIA SPINOSA,ADENIA SPINOSA
Graskop Aloe,Aloe alooides
Octopus Aloe,Aloe arborescens
Mountain Aloe,Aloe broomii
BItter Aloe,Aloe ferox
Tree Aloe,Aloe krapohliana
Climbing Aloe,Aloiampelos ciliaris
Boophane disticha,Boophane disticha
Climbing Onion,Bowiea volubilis
Silver Jade Plant,Crassula  arborescens
Jade Plant,Crassula ovata
Hobbit Jade,Crassula ovata 'Hobbit'
Namibian Grape,Cyphostemma juttae
Euphorbia horrida 'Snowflake',Euphorbia horrida 'Snowflake'
Living Baseball,Euphorbia obesa
Gasteria excelsa,Gasteria excelsa
White Paintbrush,Haemanthus albiflos
Lithops geyeri,Lithops geyeri
Lithops hookeri,Lithops hookeri
Pachypodium saundersii,Pachypodium saundersii
Curio ficoides,Curio ficoides
Inch Worm Plant,Kleinia stapeliiformis
Bird of Paradise,Strelitzia juncea
Butter Tree,Tylecodon paniculatus
Welwitschia,Welwitschia mirabilis
Begonia ruhlandiana,Begonia ruhlandiana
Heart of Flame,Bromelia balansae
Cleistocactus sp.,Cleistocactus sp.
Copiapoa coquimbana,Copiapoa coquimbana
Copiapoa hypogaea,Copiapoa hypogaea
Copiapoa lembeckei,Copiapoa lembeckei
Dyckia sp.,Dyckia sp.
Red Torch Cactus,Echinopsis huascha
Easter Lily Cactus,Echinopsis sp.
Gymnocalycium saglionis,Gymnocalycium saglionis
Parodia magnifica,Parodia magnifica
Old Man of the Mountain,Oreocereus trollii
Pilosocereus sp.,Pilosocereus sp.
Pinecone Cactus,Tephrocactus articulatus
Ubelmannia pectinifera,Ubelmannia pectinifera
Zebra Aloe,Aloe macrocarpa
Quiver Tree,Aloidendron dichotomum
Tom Thumb,Crassula 'Tom Thumb'
Baseball Bat,Dracaena hallii
Fockea edulis,Fockea edulis
Fairy Washboard,Haworthiopsis limifolia
Goldenball Cactus,Parodia leninghausii 
Wooly Lip Fern,Hemionitis bradburyi
Pelargonium,Pelargonium carnosum 
Blue Yucca,Yucca baccata
Barometer Bush,Leucophyllum frutescens
Opuntia sp.,Opuntia sp.
Lechuguilla,Agave lechuguilla
Cholla,Cylindropuntia sp.
Creosote Bush,Larrea tridentata
Purple-fruited Prickly Pear,Opuntia phaecantha
Santa Rita Prickly Pear,Opuntia santa-rita 'Tubac'
Jojoba,Simmondsia chinensis
Spanish Dagger,Yucca faxoniana
Beaver Tail Cactus,Opuntia basilaris
