route_id,location_marker,Location X,Location Y,location_name,image,content,,,,
4,1,0.22,0.462,Entrance,/main_web_logo.webp,How does it feel different as you walk into the desert? How did you expect it to feel?,,,,
4,2,0.214,0.681,Madagascar Collection,/des_2.png,"Let's move it, move it to Madagascar! Because Madagascar is an island, isolated from Africa's mainland, the plant species here have evolved like nowhere else on Earth. Our collection is the largest collection of these plants outside of Madagascar. It's our rarest and most expensive collection!",,,,
4,3,0.47,0.737,Dragon Blood Tree,/des_3.png,"On this small island"" is the Canary Island dragon blood tree. Named in medieval times"," its red sap was marketed as ""dragon's blood""", the sap was used as medicine, lipstick," and even varnish for violins. Beow are many aeoniums: leafy succulents that resemble green daisies."""
4,4,0.422,0.865,Cycad,/des_4.png,"Speaking of dragons, can you find the dragon egg? Its actually the cone of an African cycad! Most Cycads create a cone every 3-5 years. Our cycad is likely a two headede plant. Its seems more frequent, make a cone almost every year! How lucky!",,,,
4,5,0.533,0.503,The Oasis,/des_5.png,"An oasis is a fertile, life sustaining area that provides habitat for animals. Natural surface water may be present, or water may only be accessible from wells or underground channels created by humans.",,,,
4,D,0.506,0.639,Doves,/des_D.png,"Look closely for our resident collared doves. Can you guess how they got that name? Their favorite places are on the map. Our Doves: Fazil - Darker, with ear holes. Shafi - No distinguishing marks.",,,,
4,6,0.319,0.53,Living Stones,/des_6.png,"Lithops are neat little plants from southern Africa that only grow 1-3 inches tall. They were discovered by William Burchell in 1811, first thinking they were just stones.",,,,
4,7,0.572,0.343,Ponytail Palm,/des_7.png,"Ponytail Palms, native to eastern Mexico's cliffs and mountains, are near extinction due to threats like mining and illegal harvesting for the houseplant trade. Where do you think it stores its water?",,,,
4,8,0.62,0.536,Agave,/des_8.png,"The agave's roughly 20 feet tall flower stalks are pollinated by the Mexican long-nosed bat which spreads pollen on its fur. Traditionally used by the Aztecs, agave is 1.5 times sweeter than sugar! Yum!",,,,
4,9,0.66,0.398,Prickly Pear,/des_9.png,"Prickly pear, native to the Americas, produces fruit known as 'tuna' and large green pads called 'nopal', which are common in Mexican cuisine. Pack rats often make dens here!",,,,
4,10,0.846,0.488,Giant Saguaro,/des_10.png,"The Saguaro Cactus is unique to America's Sonoran Desert. This is the iconic cactus that most people picture when they think of a cactus. It grows slowly, at about 1 inch every 10 years, and typically develops its first 'arm' after around 50 years.",,,,
4,11,0.699,0.422,Queen of the Night,/des_11.png,"This cactus produces a unique flower that blooms only once a year for a single night, making it a rare and fleeting sight. It requires a flying pollinator that comes out at night. Any guesses? Its a bat! The plant is known for producing dragon fruit.",,,,
